,player_id,FirstLastTeam,Playing.for,DvP_position,Position,uf_position,games_played,dt_avg,disp_avg,risk,team_disp,usage,Season,highest_avg,talent,form
31,ArchieSmith12472,ASmithBRI,Brisbane Lions,Ruck,FWD,RUC,2,48,10,9,373.5,2.677376171,2019,48,48,35
48,BenMcEvoy11682,BMcEvoyHAW,Hawthorn,Ruck,RU,RUC,12,76,12,55,376.5,3.187250996,2019,76.41666667,82.3,74.18181818
76,BraydonPreuss12500,BPreussMEL,Melbourne,Ruck,RU,RUC,5,50,8,23,386.2,2.071465562,2019,50,56.33333333,50
83,BrodieGrundy12217,BGrundyCOL,Collingwood,Ruck,RU,RUC,15,121,21,68,399.2,5.260521042,2019,120.6,120.8,122.0833333
94,CallumColeman-Jones12730,CColeman-JonesRIC,Richmond,NA,NA,RUC,1,66,13,5,366.8,3.544165758,2019,66,66,72
96,CallumSinclair12158,CSinclairSYD,Sydney,Ruck,RU,RUC,7,73,11,32,371.7,2.959375841,2019,72.71428571,81.83333333,64
217,HaydenMcLean12745,HMcLeanSYD,Sydney,Ruck,FWD,RUC,4,65,11,18,371.7,2.959375841,2019,64.75,64.875,64.75
229,IvanSoldo12529,ISoldoRIC,Richmond,Ruck,RU,RUC,10,72,10,45,366.8,2.726281352,2019,72.2,72.1,73.22222222
303,JarrodWitts12177,JWittsGCS,Gold Coast,Ruck,RU,RUC,15,106,15,68,339.9,4.413062665,2019,106,106,106.1666667
331,JonathonCeglar12210,JCeglarHAW,Hawthorn,Ruck,RU,RUC,11,75,13,50,376.5,3.452855246,2019,74.63636364,74.81818182,79.125
418,MabiorChol12485,MCholRIC,Richmond,KeyF,RU,RUC,9,55,8,41,366.8,2.181025082,2019,54.77777778,54.88888889,54.77777778
441,MatthewKreuzer11645,MKreuzerCAR,Carlton,Ruck,RU,RUC,11,85,13,50,347,3.746397695,2019,85.45454545,95.76666667,82.55555556
447,MaxGawn11966,MGawnMEL,Melbourne,Ruck,RU,RUC,14,111,18,64,386.2,4.660797514,2019,111.3571429,111.1785714,112.0909091
468,NathanVardy11955,NVardyWCE,West Coast,Ruck,RU,RUC,5,51,7,23,356.1,1.965739961,2019,51.4,59.46153846,39.5
479,NicNaitanui11768,NNaitanuiWCE,West Coast,Ruck,RU,RUC,3,73,11,14,356.1,3.089019938,2019,72.66666667,77.77777778,72.66666667
482,NoahBalta12686,NBaltaRIC,Richmond,KeyF,FWD,RUC,6,44,9,27,366.8,2.453653217,2019,43.66666667,43.83333333,33.33333333
492,OscarMcInerney12617,OMcInerneyBRI,Brisbane Lions,KeyF,RU,RUC,12,59,9,55,373.5,2.409638554,2019,59.33333333,59.16666667,63.8
507,PeterLadhams12729,PLadhamsPOR,Port Adelaide,Ruck,RU,RUC,5,66,15,23,375.5,3.994673768,2019,65.6,65.8,69.25
515,RhysStanley11847,RStanleyGEE,Geelong,Ruck,RU,RUC,10,78,14,45,380.1,3.683241252,2019,78,79.04545455,75.875
528,RoryLobb12282,RLobbFRE,Fremantle,Ruck,RU,RUC,8,73,12,36,363.1,3.30487469,2019,72.625,82.5,64.2
530,RowanMarshall12564,RMarshallSTK,St Kilda,Ruck,FWD,RUC,14,104,18,64,388.7,4.630820684,2019,103.6428571,103.8214286,102.4166667
558,ScottLycett11994,SLycettPOR,Port Adelaide,Ruck,RU,RUC,11,95,18,50,375.5,4.793608522,2019,94.81818182,94.90909091,100
