"","player_id","FirstLastTeam","Playing.for","DvP_position","Position","uf_position","games_played","dt_avg","disp_avg","risk","team_disp","usage","Season","highest_avg","talent","form"
"1","AaronFrancis12467","AFrancisESS","Essendon","KeyF","DEF","DEF",12,52,13,55,381.6,3.40670859538784,2019,51.9166666666667,58.5,55.5555555555556
"2","AaronHall12041","AHallNME","North Melbourne","Mid","MID","MID",2,94,22,9,367.9,5.97988583854308,2019,94.5,94.25,106
"3","AaronNaughton12594","ANaughtonWBD","Western Bulldogs","KeyF","DEF","FWD",15,64,11,68,387.6,2.83797729618163,2019,64.2,64.1,66.0833333333333
"4","AaronSandilands1421","ASandilandsFRE","Fremantle","Ruck","RU",NA,6,72,12,27,363.1,3.304874690168,2019,72.1666666666667,72.0833333333333,72.1666666666667
"5","AaronYoung12068","AYoungGCS","Gold Coast","GenF","FWD",NA,1,54,11,5,339.9,3.23624595469256,2019,54,59.3666666666667,54
"6","AdamCerra12603","ACerraFRE","Fremantle","Mid","MID","DEF",13,58,14,59,363.1,3.85568713852933,2019,57.6923076923077,59.8928571428571,59.9
"7","AdamKennedy12031","AKennedyGWS","Greater Western Sydney","GenD","DEF","DEF",12,64,17,55,377.9,4.49854458851548,2019,63.8333333333333,67.2857142857143,65.2222222222222
"8","AdamSaad12330","ASaadESS","Essendon","GenD","DEF","DEF",14,69,18,64,381.6,4.71698113207547,2019,68.9285714285714,68.9642857142857,67.9090909090909
"9","AdamTomlinson12027","ATomlinsonGWS","Greater Western Sydney","GenD","DEF",NA,15,73,17,68,377.9,4.49854458851548,2019,72.5333333333333,75.3666666666667,72
"10","AdamTreloar12054","ATreloarCOL","Collingwood","Mid","MID","MID",15,116,34,68,399.2,8.51703406813627,2019,116.466666666667,116.233333333333,119.5
"11","AidanCorr12181","ACorrGWS","Greater Western Sydney","GenD","DEF","DEF",2,41,12,9,377.9,3.1754432389521,2019,41,46.6538461538462,41
"12","AidenBonar12669","ABonarGWS","Greater Western Sydney","GenF","FWD",NA,2,42,10,9,377.9,2.64620269912675,2019,42,50.5,42
"13","AlexFasolo11977","AFasoloCAR","Carlton","GenF","FWD",NA,3,33,7,14,347,2.01729106628242,2019,33.3333333333333,53.875,50
"14","AlexKeath12560","AKeathADE","Adelaide","KeyD","DEF",NA,11,59,14,50,383,3.65535248041775,2019,59.0909090909091,59.0454545454545,58.75
"15","AlexNeal-Bullen12367","ANeal-BullenMEL","Melbourne",NA,NA,"FWD",10,64,14,45,386.2,3.62506473329881,2019,64.3,72.5666666666667,63.8888888888889
"16","AlexPearce12352","APearceFRE","Fremantle","KeyD","DEF","DEF",4,40,11,18,363.1,3.02946846598733,2019,40.5,40.25,24
"17","AlexRance11733","ARanceRIC","Richmond","KeyD","DEF","DEF",1,24,6,5,366.8,1.63576881134133,2019,24,44.8333333333333,52
