FirstLastTeam,ID,First Intial,First Name,Last Name,Team,DvP Position,Position,Height,Weight
AKeathADE,1,A,Alex,Keath,ADE,KeyD,DEF,,
AMcPhersonADE,2,A,Andrew,McPherson,ADE,GenD,DEF,,
AOttenADE,3,A,Andy,Otten,ADE,KeyD,DEF,,
BCrouchADE,4,B,Brad,Crouch,ADE,Mid,MID,,
BDavisADE,5,B,Ben,Davis,ADE,GenF,FWD,,
BGibbsADE,6,B,Bryce,Gibbs,ADE,Mid,MID,,
BJarmanADE,7,B,Ben,Jarman,ADE,Mid,MID,,
BSmithADE,8,B,Brodie,Smith,ADE,GenD,DEF,,
CE-YolmenADE,9,C,Cam,Ellis-Yolmen,ADE,Mid,MID,,
CHamptonADE,10,C,Curtly,Hampton,ADE,GenD,DEF,,
CJonesADE,809,C,Chayce,Jones,ADE,MF,MID,,
DFogartyADE,11,D,Darcy,Fogarty,ADE,KeyF,FWD,193,94
DMacKayADE,12,D,David,Mackay,ADE,Mid,MID,,
DTaliaADE,13,D,Daniel,Talia,ADE,KeyD,DEF,,
EBettsADE,14,E,Eddie,Betts,ADE,GenF,FWD,,
EHimmelbergADE,15,E,Elliott,Himmelberg,ADE,KeyF,DEF,198,96
HDearADE,16,H,Harry,Dear,ADE,KeyF,FWD,,
HGreenwoodADE,17,H,Hugh,Greenwood,ADE,Mid,MID,,
JEdwardsADE,18,J,Jackson,Edwards,ADE,Mid,MID,,
JGallucciADE,19,J,Jordan,Gallucci,ADE,MF,MID,,
JJenkinsADE,20,J,Josh,Jenkins,ADE,KeyF,FWD,200,108
JKellyADE,21,J,Jake,Kelly,ADE,GenD,DEF,,
JButtsADE,810,J,Jordon,Butts,ADE,KeyF,FWD,198,86
KCheneyADE,22,K,Kyle,Cheney,ADE,GenD,DEF,,
KHartiganADE,23,K,Kyle,Hartigan,ADE,KeyD,DEF,,
KStrachanADE,811,K,Kieran,Strachan,ADE,Ruck,RU,,
LBrownADE,24,L,Luke,Brown,ADE,GenD,DEF,,
