FirstLastTeam,Initial,First Name,Surname,Hypen,Club,POS
LWhitfieldGWS,L,Lachie,Whitfield,,GWS,FWD
DMartinRIC,D,Dustin,Martin,,RIC,FWD
DSmithESS,D,Devon,Smith,,ESS,FWD
MWaltersFRE,M,Michael,Walters,,FRE,FWD
TGreeneGWS,T,Toby,Greene,,GWS,FWD
IHeeneySYD,I,Isaac,Heeney,,SYD,FWD
BEbertPOR,B,Brad,Ebert,,POR,FWD
JZiebellNME,J,Jack,Ziebell,,NME,FWD
TLynchADE,T,Tom,Lynch,,ADE,FWD
JStevenGEE,J,Jack,Steven,,GEE,FWD
CWingardHAW,C,Chad,Wingard,,HAW,FWD
GAblettGEE,G,Gary,Ablett,,GEE,FWD
JMartinCAR,J,Jack,Martin,,CAR,FWD
JDawsonSYD,J,Jordan,Dawson,,SYD,FWD
JCameronGWS,J,Jeremy,Cameron,,GWS,FWD
KLambertRIC,K,Kane,Lambert,,RIC,FWD
ABrayshawFRE,A,Andrew,Brayshaw,,FRE,FWD
DMacPhersonGCS,D,Darcy,MacPherson,,GCS,FWD
CRozeePOR,C,Connor,Rozee,,POR,FWD
HGreenwoodGCS,H,Hugh,Greenwood,,GCS,FWD
DParishESS,D,Darcy,Parish,,ESS,FWD
PLipinskiWBD,P,Patrick,Lipinski,,WBD,FWD
JGreshamSTK,J,Jade,Gresham,,STK,FWD
LFranklinSYD,L,Lance,Franklin,,SYD,FWD
JDeCOL,J,Jordan,De,Goey,COL,FWD
JWesthoffPOR,J,Justin,Westhoff,,POR,FWD
BAcresFRE,B,Blake,Acres,,FRE,FWD
RGrayPOR,R,Robbie,Gray,,POR,FWD
CPetraccaMEL,C,Christian,Petracca,,MEL,FWD
BParfittGEE,B,Brandan,Parfitt,,GEE,FWD
JStephensonCOL,J,Jaidyn,Stephenson,,COL,FWD
TPapleySYD,T,Tom,Papley,,SYD,FWD
JCeglarHAW,J,Jonathon,Ceglar,,HAW,FWD
MWallisWBD,M,Mitch,Wallis,,WBD,FWD
LDahlhausGEE,L,Luke,Dahlhaus,,GEE,FWD
TMcDonaldMEL,T,Tom,McDonald,,MEL,FWD
JGunstonHAW,J,Jack,Gunston,,HAW,FWD
MTabernerFRE,M,Matt,Taberner,,FRE,FWD
SLloydWBD,S,Sam,Lloyd,,WBD,FWD
JCaddyRIC,J,Josh,Caddy,,RIC,FWD
SHillFRE,S,Stephen,Hill,,FRE,FWD
SPowell-PepperPOR,S,Sam,Powell-Pepper,,POR,FWD
JRiewoldtRIC,J,Jack,Riewoldt,,RIC,FWD
JElliottCOL,J,Jamie,Elliott,,COL,FWD
